Context,Question,Answer
"[1] 충남도는 18일 도청 별관 광장에서 '제41주년 5ㆍ18 민주화운동 기념식'을 열고 숭고한 민주화 정신을 되새겼다.   양승조 지사와 5.18 민주유공자, 기관ㆍ단체 대표 등이 참석한 가운데 연 이날 행사는 '민주, 평화, 인권을 꽃피우는 더 행복한 충남 대한민국의 중심'을 주제로 진행했다.   대전ㆍ충청 5ㆍ18민주유공자회 김정호 대표는 경과보고를 통해 5ㆍ18 민주화운동 전개 및 국가기념일 지정 등 주요 과정을 되짚었다.   특히 5ㆍ18민주화운동에 대한 진상규명과 책임자 처벌이 제대로 이뤄질 수 있도록 기관 관계자 및 도민들의 관심을 호소했다.   또 이날 기념식에서는 5ㆍ18 민주화운동 당시 교사로 재직하다가 유언비어를 유포했다는 이유로 억울한 옥살이를 한 유공자 김흥수(아산, 69) 씨의 사연과 민주화를 위해 목숨 바친 열사를 추모하는 '그날이 오면' 중창은 모든 참석자의 가슴을 울리기도 했다.   존엄과 폭력이 공존하는 곳에서 두려움을 떨치고 서로 하나 되어 민주화의 염원을 기원하는 내용의 시 낭독과 무용, 바라춤도 차례로 이어졌다.   이 자리에서 양 지사는 기념사를 통해 ""5ㆍ18 민주화운동은 대한민국 국민 모두가 함께 기려야 할 자부심과 긍지의 역사""라며 ""5ㆍ18 정신을 바탕으로 민주주의와 평화, 인권을 꽃피우는 대한민국을 함께 만들자""고 강조했다.   이어 ""그 토대 위에 '더 행복한 민주주의'를 꽃피우고 국민주권시대를 넘어 국민행복시대를 만들어 가자""면서 ""더불어 잘 사는 평화롭고 행복한 세상을 위해 도민 여러분의 힘을 모아줄 것""을 당부했다.   아울러 ""41년 전 우리 국민의 피 끓는 외침과 함성이 2021년 5월 미얀마 국민에게 가닿기를 간절히 기원한다""며 ""부당한 독재 권력에 저항하고 자유와 민주주의에 목숨을 걸고 있는 미얀마 민주화운동을 응원한다""고 말했다.   한편 이날 기념식은 코로나19 등의 영향으로 참석자 발열 확인, 좌석 간 거리 유지, 마스크 착용 등 철저한 방역 속에서 소규모로 진행했으며, 유튜브 등 비대면 생중계를 통한 온라인 참여는 확대해 추진했다.",18일에 충남도에서 개최된 기념식에 참석한 사람은 누구지,"양승조 지사와 5.18 민주유공자, 기관ㆍ단체 대표 등"
"[1] 내지르는 부분이 부족하다는 얘기다. “공연장에서 제가 만든 노래보다 유투 등 다른 유명 밴드의 곡을 부를 때 관객들은 물론 저도 더 신이 나더군요. 곡을 만들 때 나만의 독창적인 스타일만 고집하다 보니 사람들에게 친숙하게 다가가지 못하는 결과를 낳았던 겁니다. 문득 대중음악은 사람들에게 즐거움을 선사해야 한다는 점을 깨달았어요. 나만의 스타일은 고수하되 좀 더 많은 사람들이 친숙하게 느끼고 즐길 수 있는 선율을 도입할 필요성을 느낀 거죠.” 일단 지난해 말 가수 박기영에게 만들어주고 듀엣으로 부른 곡 ‘머시’에서 그 가능성을 보여줬다. 이승열 특유의 색깔을 품으면서도 듣는 이를 단숨에 빨아들이는 강렬한 훅을 들려줬다. 그는 올 상반기 안에 발표할 2집 앨범을 준비 중이다. 이번 앨범이 마지막이 될 수도 있다는 각오로 온 힘을 쏟고 있단다. 그가 2005년을 음악성과 대중성이라는 두 마리 토끼를 잡으며 한국 대중가요계에 한 획을 긋는 해로 장식할 수 있을지 궁금하다. 글
[2] [IMG1]댄스위주 후크송 일변도인 최근 가요계에 자신만의 색깔로 도전한 실력파 여가수가 등장했다. 바로 ‘가수는 실력으로 평가 받는다’라는 굳은 신념아래 오랜 기간 노래에만 매진해온 박소빈이 그 주인공이다. 박소빈은 이미 2008년 알렌에스 라는 여성 듀오의 리드보컬로 데뷔한 바 있다. 비록 뜻한바와 다르게 팀이 해체되는 아픔을 겪기도 했지만 박소빈은 포기하지 않았다. 그는 지난 3월 발표한 솔로 데뷔 곡 ‘이별맛’을 통해 녹록치 않은 기량을 선보였다. 특히 그는 첫 방송을 앞두고 심한 열 감기로 인한 탈진 속에서도 완벽한 라이브 무대를 보여주며 악바리 근성을 인정받기도 했다. 비록 대중들에게는 박소빈이라는 이름이 아직 낯설지 몰라도, 업계 제작자들은 “여자 솔로 보컬리스트의 계보를 잇는 재목이다”라고 말하며 그의 실력을 인정하고 있다. 이처럼 홀로서기에 나선 박소빈은 지난 6월 24일 두 번째 싱글 앨범 타이틀 곡 ‘친구처럼 쿨하게’로 우리 곁에 다시 돌아왔다. 박소빈은 서울 압구정동에 위치한
[3] [텐아시아=손예지 기자] 업텐션 뮤직비디오 / 사진제공=TOP Media“거부할 수 없어.”그룹 업텐션이 15일 오후 6시 발표한 정규 1집 앨범 의 타이틀곡 는 이렇게 시작한다. 도입부터 강렬한 멜로디, 음악을 꽉 채운 드럼 베이스와 기타 사운드, 중독성 강한 후렴구로 ‘거부할 수 없는’ 히트곡의 탄생을 예고했다.는 업텐션의 데뷔곡 을 비롯해 엑소의 ‘으르렁’ 등을 만든 히트곡 제조기 신혁과 줌바스 소속 작곡가들이 함께 만들었다. 현대적인 일렉트로닉 사운드가 결합한 팝 트랙으로, 기존의 업텐션 곡이 갖고 있던 흥겨운 비트는 유지하되 멜로디와 사운드는 한층 세련됐다.무엇보다 업텐션의 분위기가 달라졌다. 강렬하고 치명적이다. 는 업텐션이 설정한 판타지 세계다. 가사는 “너와 나의 둘만의 세상”으로 상대를 초대하겠다는 내용이다. “거부할 수 없어, 나의 손짓에” “내가 너를 흔들어, 바로 거침없이” 등 강렬한 이끌림을 표현하는 가사와 멤버들의 각양각색 보컬, 래핑이 어우러져 듣는 이들을
[4] 전문 음악 리뷰 사이트인 《이즘》(IZM)의 홍혁의는 평점 5점 만점에 4점을 부여하며 그만의 독특한 스타일이 더욱 발전해 음반에 묻어난다고 평했다. 음반의 가장 큰 장점인 감정 전달에 대해서 그 이유는 타블로의 비유법과 이소라(이소라 (가수)) 등 피쳐링 보컬들의 ""호소력 가득한 보컬에 있다""며, 또한 ""타블로의 멜로디 작곡 능력이 더해져 이뤄낸 성과""라고 긍정적으로 평했다. 음반 발매에 앞서 선공개 되었던 ""Airbag(Airbag (노래))""은 공개와 동시에 당일 음원 차트에서 1위를 차지하였다. ""Airbag""은 《빌보드 차트》 케이팝 차트에서는 11월 첫째 주 5위를 기록하며 데뷔하였다. 파트 1 또한 공개 직후 6개 음원 차트에서 1위를 석권하였다. 또한 타이틀곡인 〈나쁘다〉는 《빌보드 차트》 11월 둘째 주 4위를 차지했다. 파트 2와 타이틀 곡 ""Tomorrow""는 공개 직후 전곡 음원 차트 상위권에 올랐다.
[5] 가요계 뉴트로 아이콘 박문치도 ‘Rewind : Blossom’에 힘을 보탰다. ‘뉴트로 열풍 선구자’답게 가요계 트렌드를 이끌어 온 박문치는 자신의 독창적인 음악 세계를 드러내며 ‘늘 지금처럼’을 화려하고 신선하게 리메이크했다. 또 박문치 유니버스의 멤버인 루루와 라라가 보컬로 참여하며 복고풍 사운드를 더욱 풍성하게 완성시켰다. ‘뉴트로 천재’ 90년대 생이 다시 부르는 90년대 곡은 어떤 느낌일지 궁금증이 모아지고 있다. 앞서 선공개된 ‘Rewind : Blossom’ 첫번째 타이틀곡 엑소(EXO) 백현·NCT 도영의 ‘인형’은 발매 직후 주요 음원차트 상위권을 차지하는 등 뜨거운 반응을 얻은 바 있다. 톱 아이돌 보컬로 꼽히는 백현과 도영이 약 20년만에 재해석한 ‘인형’은 많은 음악 팬들의 아름다운 추억을 되살리며 큰 감동을 전했다.",브라더수와 개코 모두 수많은 히트곡들을 만들어낸 히트곡 제조기인 만큼 무엇을 자극하고 있나?,이번 콜라보에서 어떠한 모습을 드러낼지 많은 음악 팬들의 호기심
"[1] 제2차 국가안전관리기본계획(중앙안전관리위원회･행정안전부, 2009)은 이명 박 정부에서 수립되었다. 이 계획은 2010년부터 2014년까지의 5년간 우리나라의 전반적 재난안전관리의 지침을 제공하는 계획으로서 지난 1차 기본계획의 성과와 한계를 진단하고, 최근의 국내외 상황을 반영하여 수립된 것이다. 제2차 국가안전관리기본계획은 ‘OECD 수준의 안전 선진국 실현’을 비전으로 설정했다. 이는 이명박 정부가 국가비전으로 제시한 ‘선진화를 통한 세계일류 국가’와 밀접한 관계를 가지고 있다. 이명박 정부는 국가비전 수립에 있어 선진화 및 일류와 같은 상대적인 비교 개념을 채용했고, 국가안전관리계획 역시 OECD의 평균 정도인 안전 수준을 이룩하는 것으로 구체적인 정책 목표를 수립했다고 볼 수 있다. 이는 물론 우리나라의 각종 안전지표가 선진국에 비하여 매우 미흡한 현실을 반영했다고 해석할 수도 있다. 다음의 그림은 제2차 국가 안전관리기본계획의 비전, 목표, 전략을 나타내고 있다.",박근혜 정부가 국가보안책으로 제시한 건 뭐야,선진화를 통한 세계일류 국가
"[1] 행정서비스 이용 과정에서 지적장애인이 어떤 어려움을 겪는지, 정당한 편의제공이 어떻게 제공되고 있는지에 대한 실태조사는 아직까지 공식적으로 이뤄진 적이 없다. 발달장애인을 위한 정당한 편의제공에 관한 사회적 논의가 이제 막 시작되고 있는 상황인 데다 행정서비스 이용 상의 차별에 관한 논의도 거의 이루어지지 않았기 때문이다. 이러한 상황을 고려하여 발달장애인 행정서비스 이용실태를 파악하기 위해 기존 실태자료 중 간접적으로 발달장애인 행정서비스 이용실태를 보여줄 수 있는 자료와 국가인권위원회 진정사건에 대한 문헌 검토와 함께 관련전문가 인터뷰를 실시하여 실태를 확인하였다. 2011년 국가인권위원회 연구용역을 통해 이뤄진 『장애유형별 자립생활현황과 지원체계 개선에 관한 연구』에서 장애인의 자립생활저해요인 및 지원체계에 대한 욕구를 파악하기 위해 탈시설 직후 장애인과 지역사회 재가 장애인 300명을 대상으로 양적조사를 실시하였다. 동 조사 결과 지적장애인은 ‘행정서비스를 담당하는 공무원의 장애이해 부족’을
[2] 국가인권위원회는 장애인차별금지법 모니터링이라는 명칭으로 2009년부터 주요 현안과 정당한 편의 제공의 단계적 적용을 고려하여 주로 장애인의 시설 접근 및 이용과 관련해 현장을 방문하여 모니터링을 실시하고, 그 결과를 해당 기관에 통보하여 문제된 부분을 개선 하게 하고 위원회의 관련 진정 사건, 정책 권고, 정책 과제 등의 도출 또는 개발과 연계 시키는 사업을 추진해 왔다. 국가인권위원회는 이 모니터링을 위해 주로 장애인으로 구성된 모니터링단을 현장에 보내서 모니터링을 실시하게 하였다. 이 두 기관의 모니터링 사업은 그 법적 근거가 불명확하여 일부 문제점을 노출했다. ① 이러한 장애인차별금지법 모니터링 사업은 법적 근거가 없기 때문에 모니터링 대상 기관의 조사 협조를 얻기가 어려워 그간 충분하고 심도 있는 조사를 수행하기가 쉽지 않았다. ② 보건복지부와 국가인권위원회의 모니터링 사업이 일부 중복되는 부분이 있음에도 모니터링 주관 기관, 모니터링 내용 등에 대한 법적 규정이 없는 관계로 둘 중 어느 기관이
[3] 장애인 실태조사는 장애인에 대한 사회의 부정적인 인식, 노출 기피 등으로 일반 사회조사와는 다른 특성을 가진다. 특히 각 장애유형별 특성 및 원인, 보건의료․건강, 일상생활 지원, 장애인보조기기, 교육, 취업 및 직업재활, 사회 및 문화․여가활동, 결혼생활/여성장애인, 생활만족도 및 폭력‧차별경험, 주거, 복지서비스, 경제상태의 각 영역에 대한 이해가 필요하고, 조사에 있어 장애인복지 증진에 대한 헌신적 참여의사와 동기유발이 요구된다. 특히, 2017년 장애인실태조사는 기존 종이조사표를 이용한 조사방식에서에서 컴퓨터를 이용한 CAPI(Computer Assisted Personal Interviewing) 시스템 조사방식을 활용하였다. 조사방식의 전환이 가져올 영향을 최소화하기 위하여 조사원을 대상으로 CAPI시스템 등 컴퓨터 활용교육 및 조사벙법에 대한 교육을 조사표 내용에 대한 교육과 별도로 추가 실시하였다. 이와 같은 조사방식의 변화에 따라 발전적인 사항은 조사된 내용에 대해 조사지도원이 현장에서
[4] 장애인 목소리에 귀 기울여 장애등급제 폐지 준비한다!□ 이에 정부는 장애등급제를 폐지하고 이를 대신하여 장애인의 욕구와 환경 등을 종합적으로 고려하여 서비스를 지원할 수 있는 기반을 마련해 나갈 계획이다.○ 개인의 욕구와 환경 등에 대한 ‘서비스 지원 종합조사’를 통해 장애인이 실제 필요로 하는 서비스를 파악해서 지원한다.* 일상생활 수행능력, 인지 행동특성, 사회활동, 가구환경 등 방문조사○ 독거 중증장애인 등 취약가구에 대해서는 기초자치단체(시군구)의 ‘장애인 전담 민관협의체’를 통해 지역사회 자원을 발굴 연계하고 장애인복지관, 발달장애인지원센터 등과 협력하여 전문적 사례관리를 실시한다.* 장애인복지법에 따라 2019.7월 신설, 지자체, 민간전문기관, 후원기관 등 참여□ 이번 토론회에서는 특히, 7월부터 새롭게 도입되어 활동지원 등 주요 서비스의 지원기준으로 활용되는 ‘서비스 지원 종합조사’에 대해 중점적으로 논의하였다.○ 작년 토론회에서 장애인단체는 종합조사도구가 장애유형별 특성을 충분히
[5] 본 연구의 목적을 구체화하면 다음과 같다. 첫째, 활동지원서비스를 이용하고 있는 장애인을 심층 면접하여 이용자가 바라보는 활동지원제도의 문제점을 조사하였다. 최근까지 국내에서 활동지원서비스에 대한 욕구나 만족도를 양적조사를 이용하여 실시하기는 하였으나 지적한 문제점에 대한 구체적인 내용이나 개선점들을 심층적으로 조사하는 데는 한계가 있었다. 따라서 본 연구는 심층 면접을 이용한 질적 방법을 이용하여 활동지원서비스를 이용하고 있는 장애인들이 느끼는 제도의 문제점과 개선점에 대해서 조사하였다. 둘째, 활동지원서비스를 제공하고 있는 활동보조인을 대상으로 심층 면접을 실시하여 활동보조인들이 느끼는 활동지원제도의 문제점을 파악하였다. 즉, 활동지원서비스의 제공자인 활동보조인들의 처우, 장애인과의 관계, 서비스 제공 시 어려움 등을 파악하여 공급과 관련된 구체적인 개선점을 제시하고자 하였다. 셋째, 활동지원서비스를 담당하고 있는 공무원을 대상으로 심층면접 질적 조사를 실시하여 서비스 제공과 관련된 행정적 혹은",시청각장애인 서비스 지원방안 도출을 위한 전문가 개별 심층면접 조사는 어떤 방법으로 실시되니,개별 인터뷰(비대면 의견수렴 조사)
"[1] 국민연금은 퇴직연금, 개인연금과 대체성과 보완성이 강하므로 연금시스템으로 연계해서 정책이 개선되어야 한다. 따라서 단순히 소득대체율이 낮다고 이를 높이는 정책이나 혹은 사후 발생할 수 있는 재정적자 시 정부의 재정부담을 고려하지 않은 정책은 재정불안정의 발생 이전에 사전에 개선되어야 한다. 국민연금은 평균적 급여부담비율이 1.8로 구조적으로 재정적자이다. 이에 따라 2040년도에 수지적자가 발생하고 2060년도에는 기금이 고갈될 것으로 추정된다. 그러나 늘어나는 평균수명 등으로 재정수지는 현재의 추계보다 훨씬 더 일찍 악화될 것으로 본다. 급여부담비가 1.8이라는 것은 총납입보험료 현가의 0.8배를 정부가 부담해야 함을 의미한다. 국민연금을 금융상품의 하나라고 본다면 이는 가장 수익률이 높은 상품에 속하는 것이 된다. 따라서 최근 임의 가입이 늘어나는 등의 현상과 같이 국민들은 국민연금에 대한 contract-in 현상이 발생하고 있다. 이는 또한 연금기금의 충분한 수익률을 내지 못하면 국민들의
[2] 국민연금의 재정구조는 실질적으로 당면한 고령화 문제를 심각하게 고려하지 않았다. 문제는 국민들의 노후보장수단의 가장 큰 비중을 차지하는 국민연금의 재정구조가 가입자들의 반대로 개선될 가능성은 없고, 연금기금의 고갈시점이 점차 앞당겨지고 있다. 결과적으로 급여 조달하기 위한 수단을 강구해야 하는데 이는 국민들의 상당한 공감대가 형성되지 않으면 안 된다. 국민연금기금은 2040년 수지적자, 2060년 기금고갈이나 추계과정에서 과거추세형 생명표의 사용으로 조기 기금 고갈 가능성이 높다. 국민건강보험은 앞으로 고령화에 따른 노인의료비 증가로 의료비(급여비) 지출이 증가하고 보험료의 인상이 한계에 이르면 이에 따른 적자를 메우기 위한 재정부담이 증가할 것이다. 최근 건강보험재정의 흑자로 적립금이 약 20조원에 이르고 있으나 고령화로 인한 의료비의 증가는 보험료의 지속적 인상을 불가피하게 할 것이다. 게다가 건강보험은 의료서비스가 축적되는 것이 아니고 의료수요에 의하여 공급이 발생하는 스폿시장의 성격이 강해서",국민연금과 같은 공적 연금의 재정이 점점 악화될 것이라고 예상되는 이유는 뭐니,노후대비 자산 축적의 필요성
"[1] 제공하고, 지역 차원에서 인력수급이 필요한 분야를 적극적으로 특화하여 청년고용의 선순환 체제를 구축해 나가도록 해야 한다.
[2] 말했다.ㅇ 이 사업으로 지역청년에게는 취업의 길이, 지역기업에게는 우수인재 채용의 길이 확대함으로써, 국가적 청년 취업난 해소의 마중물이 될 것으로 보인다.",계획허가의 합의 내용에 따르면 어떻게 지역민들의 능력을 키워 취업의 기회를 제공한다고 했어,고용훈련에 대한 지원을 통해서
"[1] 열린우리당과 한나라당에 대해 ""이 부총리의 부동산 투기의혹에 관한 청문회를 추진하자""고 제안했다. 민주당 김재두(金在杜) 부대변인은 전날 논평을 내고 ""자신의 땅투기 의혹도 속 시원히 못 밝히면서 어떻게 부동산정책을 차질 없이 추진하겠다는 것인지 도무지 이해가 안된다""며 ""더이상 국민들을 기만하지 말고 자진 사퇴하라""고 촉구했다. 이에 대해 열린우리당은 공식 논평을 내놓지 않고 있지만 노무현(盧武鉉) 대통령이 이 부총리에 대해 사실상 '재신임' 결정을 내린데다 경제정책의 일관성이 긴요한 시점인 점 등을 감안할 때 이 부총리의 거취를 문제삼을 필요가 없다는 입장을 보였다. 원혜영(元惠榮) 정책위 의장은 ""대통령이 이미 신임을 확인한데다 경기회복 분위기를 살려나가려면 정책의 일관성이 필요하고 이 부총리의 총괄조정 능력도 있어야 한다""며 ""전날 이부총리의 사과로 정리된 것으로 봐달라""고 말했다. 우리당 임종석(任鍾晳) 대변인은 사견을 전제로 ""공직을 활용해서 한 일이 아닌데다 본인이 이미 해명하고
[2] 사과했다""며 ""올해 경제가 나아지고 있는 조짐을 보이고 있는 만큼 야당도 대승적 차원에서 이 부총리의 사과와 해명을 받아들여야 한다고 본다""고 밝혔다. 그러나 우리당 내에서도 이 부총리가 거취표명을 해야 한다는 주장이 대두되고 있어 논란이 확산될 조짐도 보이고 있다. 4.2 전당대회 지도부 경선에 출마한 염동연(廉東淵) 의원은 오전 청주지역에서 회견에서 ""이 부총리의 처신은 공직자의 자세가 아니며 당당치 못한 것""이라며 ""이 부총리는 스스로 물러나야 한다""고 주장했다. 한편 국회 재경위원회 소속 의원들은 부동산투기 의혹에 대한 이 부총리의 해명이 미흡하다고 보고 필요할 경우 재경위 차원에서 직접 해명을 듣는 방안을 검토해야 한다는 입장을 보였다. 우리당 재경위 간사인 송영길(宋永吉) 의원은 ""사실관계가 더 밝혀진 후에 판단할 문제라고 본다""며 ""그러나 지금까지 이 부총리의 해명이 미흡하다고 본다""고 지적했다. 한나라당 간사인 이종구(李鍾九) 의원은 ""이 부총리의 해명이 매우 미흡하다""며 ""필요하다면
[3] 표시했고, 고의가 아니라는 것이 양국간에 이해됐다""면서 ""마치 다른 의도를 갖고 발표한 것은 사실이 아니며 사실관계를 정확하게 인용해 주면 좋겠다""고 반박했다. 그러자 박 의원은 ""의원이 질의하는데 사실관계를 확인하지 못했다고 얘기하는게 장관으로서 옳은 자세냐""고 목청을 높였고, 정 장관도 ""의원은 장관 윽박질러도되고, 장관은 거기에 대해 답변 한마디 못하는 거냐""고 되물으며 따졌다. 정 장관은 또 박 의원이 자신을 아나운서 출신이라고 언급한 데 대해 ""기자 18년 하고 의원됐다. 기자출신 장관으로 불러달라""고 질의과정에 `사실'과 다른 점을지적했고, 박 의원은 ""기자출신 장관님 잘 알겠습니다""라고 `빈말'을 던지며 감정을누그러뜨리지 않았다.
[4] 이후 미스터리는 더 증폭됐다. 홍 부총리가 기재위 회의가 끝난 오후 5시쯤 기자들이 ＂사의표명 누구에게 했나. 대통령에게 직접 했느냐”고 묻자 “내가 타이핑을 쳐서 인편으로 전달했다”고 했다. 홍 부총리의 말대로라면 홍 부총리의 이날 국회 답변이 이해가 된다. 문 대통령의 결정을 청와대 인사가 전하지 않았다면 홍 부총리가 모를 수도 있어서다.  오후 5시50분쯤 강민석 대변인이 추가 해명을 했다. “(이날 오전) 국무회의 직후 대통령과 홍 부총리가 면담했다. 사의를 표명했으나 대통령이 격려하며 신임을 재확인하고 반려했다. 홍 부총리가 이를(반려 여부를) 국회에서 밝히지 않은 것은 대통령의 인사권을 존중해서”라고 했다. 강 대변인은 “대통령 동선이나 인사권에 관한 사안은 공직자로서 보안을 유지해야 하는 사안이다. 더욱이 홍 부총리는 청와대 대변인실의 반려 사실 공식 발표(오후 2시58분쯤)를 국회 기재위에 출석해 알지 못했다”고 덧붙였다.
[5] 처음 접하는 것이다. --이는 꽤 알려진 얘기인데 지금와서 문제가 되는 이유는. ▲당시 문제가 됐다면 정밀한 행적조사, 검증이 있었을 것이다. 정찬용 전 수석 얘기처럼 '당시는 몰랐다'는 말을 액면 그대로 믿고 싶다. --청와대가 이를 인지한 것은 언론보도 이후인가. ▲그렇다. --오늘 아침 수석.보좌관회의에서도 논의가 됐나. ▲아니다. 지난 토요일까지 쭉 검토를 해봤다. --유 차관이 사의를 표명했나. ▲아니다. --해당 부처가 기록을 누락해 보고하는 경우 청와대가 이를 보완할 장치가 있나. ▲쉽지 않다. 여러 기관의 자료로 판단을 한다. --5.18 당시의 이력도 누락된 것이냐. ▲가령 '20사단 대대장'이라고 기록에 나왔다 해도 당시 '20사단이 광주에 파견된 사단 아니냐'는 문제의식을 갖고 정밀하게 알아보는 데는 한계가 있었을 것이다.",한나라당 간사인 이종구 의원은 이 부 총리의 해명이 미흡하다면  어떻게 이 부총리의 해명을 들어야 한다고 말했는가?,재경위 차원에서 회의 소집 등을 통해 해명을 들어봐야 한다
"[1] 채택되어 고도로 자율화된 선박관리 시스템을 위한 기술을 개발하게 된다. 또한 자동 선박관리 기술의 중장기적 개발 로드맵을 제시할 예정이다.
[2] 스마트십의 개념은 현대중공업에서 세계 최초로 구현하였으며 이전에는 현대중공업을 포함하여 선박관련 서비스를 구체적으로 진행하지 못하였다. 현대중공업 제조업 가치사슬의 변화는 크게 두 단계로 이루어진다. 첫 번째는 스마트십 1.0으로 선박통합통신망(SAN)이라는 플랫폼을 통해서 기기들을 네트워크로 연결하고 외부에 정보들을 제공할 수 있는 수준이다. 이 단계에서 제조업서비스는 주로 판매/구 매 단계에 집중하였으며 사용단계에는 모니터링 정도였다. 플랫폼의 구축이후 스마트십 2.0 단계에서는 제품의 가치를 향상시켜줄 선박서비스와 관련 비즈니스 모델로 제조업서비스 가치사슬을 확대시켰다. 초기 스마트십 1.0단계에서는 단순 모니터링 서비스를 통해서 선주와 선사가 선박의 상태를 육상에서 파악하고 스스로 유지보수관리 활동을 할 수 있도록 정보만 제공해주는 개념이다. 반면 스마트십 2.0은 선박 운행과 관리 및 경영에 필요한 모든 의사결정에 대해서 효율적인 솔루션을 서비스로 지원하고 있다.
[3] 청사진을 논의하고,ㅇ 각계 의견을 토대로「친환경·스마트 미래선박 발전 로드맵」을 연내 마련하여 우리 조선산업의 상생협력 및 친환경·스마트화를 지원해 나갈 계획이다.
[4] 대우조선해양 이성근 사장은“디지털 생산센터는 회사의 미래 경쟁력인 스마트 조선소 구축과 선박 자율운항시대를 열어줄 핵심 시설”이라며 “미래지향적 조선소가 되기 위한 혁신점에 와 있는 만큼, 디지털 전환에 더욱 속도를 내겠다”고 밝혔다.
[5] 현대중공업은 가치사슬모델에서 정보제공서비스와 설치 조립서비스, 맞춤서비스와 같은 제조업 서비스를 제공하고 있다. 현재 공급하고 있는 스마트십 1.0이 고객에게 제공하는 사용관련 서비스는 선박의 운항정보제공 서비스이며 판매/구매 관련하여 다양한 고객의 요구에 맞추어 스마트십 서비스를 제공하고 있다. 또한 자사에서 건조한 선박뿐만 아니라 타사에서 생산한 고객선박에 시스템을 설치, 조립하는 서비스를 함께 하고 있다. 이와 같이 현재 현대중공업이 스마트십을 통해서 현재 제공하고 있는 제조업 서비스는 판매/구매와 사용단계의 제품기반서비스이다. 향후 현대중공업은 스마트십 1.0에서 구축한 서비스플랫폼을 바탕으로 스마트 2.0단계에서는 보다 다양한 제조업 서비스로 영역을 확장할 계획이다. 현재 제공되고 있는 단순 모니터링 서비스에서 선박 진단분석서비스와 유지관리서비스 그리고 고객사의 경제적 운항에 대한 컨설팅 서비스까지 확대할 계획이다. 이를 통해서 제품사용에서 고객가치와 기업의 부가가치창출을 증가시키는 것이",어떤 방법으로 스마트조선소 구축을 위한 기초체계를 만들었어,"정보통신업체와 협약 체결, Wibro 무선통신망을 기반으로 현장 동시 연결"
"[1] 중간계급의 점진적 상승은 수공예(handicraft)시대로의 이행을 나타낸다. 그것은 상당한 수의 독립적인 장인과 사업자들을 특징으로 하였다. 중간계급은 유럽을 괴롭혔던 계속적인 전쟁에 관심을 갖지 않았으므로, 베블렌은 그것을 평화적 또는 준평화적이라고 묘사했다. 베블렌은 ‘사업(business)’과 ‘산업(industry)’을 구별했다. 사업은 돈 버는 것과 관계가 있고, 산업은 재화를 만드는 것과 관계가 있다. 사업의 궁극적 목적은 지위를 얻기 위하여 부를 얻는 것이다. 이 면에서 그것은 약탈적 문화의 일부이다. 산업의 목적은 다른 사람들이 원하는 물건들을 생산하는 것이다. 그것은 집단중시 본능과 일치한다. 베블렌은 신흥 중간 계급은 일차적으로 산업이 아니라 사업에 관심이 있었다는 것을 분명히 했다.",계속적인 중간계급의 상승이 거부하는 건 무슨 시대로의 이행일까,수공예(handicraft)시대
"[1] 유라시아 이니셔티브 실현을 위한 한·우즈벡 경협기반 확충 - 한·우즈벡 중소기업 포럼 개최 및 중소기업 협력 MOU 체결 -□ 중앙아시아 경제발전의 핵심국가이자 유라시아 이니셔티브의 핵심 협력국가인 우즈베키스탄과의 중소기업분야 협력기반이 대폭 확충된다. □ 중소기업청 한정화 청장은 2014.11.17(월) 우즈베키스탄 타슈켄트를 방문하여 우 즈베키스탄 대외경제무역투자부 및 상공회의소와 공동으로「한-우즈베키스탄 중소기업 포럼」을 개최하였다. ◦ 중앙아 국가들과의 포괄적 협력 증진을 위한 2014년 한-중앙아 카라반 행사‘의 오프닝 행사로 개최된 이날 포럼에는◦ 한정화 청장, *** 주 우즈벡대사, *** 외교부 유럽국장과 경제사절단 참여업체(22개사) 관계자 등 한국측 인사 50여명과- 툴야가노프 아비드자노비치 대외경제무역투자부 차관, **** **** 상공회의소 회장 등 중소기업 유관기관 관계자와 중소기업인 등 우즈벡측 인사 100여명이 참석하였다□ 한정화 청장은 포럼 개회사를 통해 “역사적․문화적으로 매우 특별한 인연을 갖는 양국은 1992년 수교 이후로 긴밀한 교류․협력관계를 구축해왔으며, 상호 교역규모의 지속적인 확대로 서로의 핵심 교역 파트너가 되었다”고 언급하고, ◦ “그간 구축된 협력기반을 토대로 양국 중소기업간 협력․교류등 중소기업분야 협력을 더욱 발전시켜 실크로드 익스프레스* 등 유라시아 이니셔티브를 함께 실현해나가자”고 강조함. * 부산-북한-러시아-중국-중앙아시아-유럽까지 철도망 연결을 통한 유라시아를 포괄하는 운송망 구축",중소기업청 청장이 2014년 11월 17일에 타슈켄트를 방문하여 개최한 행사가 뭐지,한-우즈베키스탄 중소기업 포럼
